nid,jid,Last Name,First Name,Middle Name,Suffix,Birth Month,Birth Day,Birth Year,Birth City,Birth State,Death Month,Death Day,Death Year,Death City,Death State,Gender,Race or Ethnicity,Court Type (1),Court Name (1),Appointment Title (1),Appointing President (1),Party of Appointing President (1),Reappointing President (1),Party of Reappointing President (1),ABA Rating (1),Seat ID (1),Statute Authorizing New Seat (1),Recess Appointment Date (1),Nomination Date (1),Committee Referral Date (1),Hearing Date (1),Judiciary Committee Action (1),Committee Action Date (1),Senate Vote Type (1),Ayes/Nays (1),Confirmation Date (1),Commission Date (1),"Service as Chief Judge, Begin (1)","Service as Chief Judge, End (1)","2nd Service as Chief Judge, Begin (1)","2nd Service as Chief Judge, End (1)",Senior Status Date (1),Termination (1),Termination Date (1),Court Type (2),Court Name (2),Appointment Title (2),Appointing President (2),Party of Appointing President (2),Reappointing President (2),Party of Reappointing President (2),ABA Rating (2),Seat ID (2),Statute Authorizing New Seat (2),Recess Appointment Date (2),Nomination Date (2),Committee Referral Date (2),Hearing Date (2),Judiciary Committee Action (2),Committee Action Date (2),Senate Vote Type (2),Ayes/Nays (2),Confirmation Date (2),Commission Date (2),"Service as Chief Judge, Begin (2)","Service as Chief Judge, End (2)","2nd Service as Chief Judge, Begin (2)","2nd Service as Chief Judge, End (2)",Senior Status Date (2),Termination (2),Termination Date (2),Court Type (3),Court Name (3),Appointment Title (3),Appointing President (3),Party of Appointing President (3),Reappointing President (3),Party of Reappointing President (3),ABA Rating (3),Seat ID (3),Statute Authorizing New Seat (3),Recess Appointment Date (3),Nomination Date (3),Committee Referral Date (3),Hearing Date (3),Judiciary Committee Action (3),Committee Action Date (3),Senate Vote Type (3),Ayes/Nays (3),Confirmation Date (3),Commission Date (3),"Service as Chief Judge, Begin (3)","Service as Chief Judge, End (3)","2nd Service as Chief Judge, Begin (3)","2nd Service as Chief Judge, End (3)",Senior Status Date (3),Termination (3),Termination Date (3),Court Type (4),Court Name (4),Appointment Title (4),Appointing President (4),Party of Appointing President (4),Reappointing President (4),Party of Reappointing President (4),ABA Rating (4),Seat ID (4),Statute Authorizing New Seat (4),Recess Appointment Date (4),Nomination Date (4),Committee Referral Date (4),Hearing Date (4),Judiciary Committee Action (4),Committee Action Date (4),Senate Vote Type (4),Ayes/Nays (4),Confirmation Date (4),Commission Date (4),"Service as Chief Judge, Begin (4)","Service as Chief Judge, End (4)","2nd Service as Chief Judge, Begin (4)","2nd Service as Chief Judge, End (4)",Senior Status Date (4),Termination (4),Termination Date (4),Court Type (5),Court Name (5),Appointment Title (5),Appointing President (5),Party of Appointing President (5),Reappointing President (5),Party of Reappointing President (5),ABA Rating (5),Seat ID (5),Statute Authorizing New Seat (5),Recess Appointment Date (5),Nomination Date (5),Committee Referral Date (5),Hearing Date (5),Judiciary Committee Action (5),Committee Action Date (5),Senate Vote Type (5),Ayes/Nays (5),Confirmation Date (5),Commission Date (5),"Service as Chief Judge, Begin (5)","Service as Chief Judge, End (5)","2nd Service as Chief Judge, Begin (5)","2nd Service as Chief Judge, End (5)",Senior Status Date (5),Termination (5),Termination Date (5),Court Type (6),Court Name (6),Appointment Title (6),Appointing President (6),Party of Appointing President (6),Reappointing President (6),Party of Reappointing President (6),ABA Rating (6),Seat ID (6),Statute Authorizing New Seat (6),Recess Appointment Date (6),Nomination Date (6),Committee Referral Date (6),Hearing Date (6),Judiciary Committee Action (6),Committee Action Date (6),Senate Vote Type (6),Ayes/Nays (6),Confirmation Date (6),Commission Date (6),"Service as Chief Judge, Begin (6)","Service as Chief Judge, End (6)","2nd Service as Chief Judge, Begin (6)","2nd Service as Chief Judge, End (6)",Senior Status Date (6),Termination (6),Termination Date (6),Other Federal Judicial Service (1),Other Federal Judicial Service (2),Other Federal Judicial Service (3),Other Federal Judicial Service (4),School (1),Degree (1),Degree Year (1),School (2),Degree (2),Degree Year (2),School (3),Degree (3),Degree Year (3),School (4),Degree (4),Degree Year (4),School (5),Degree (5),Degree Year (5),Professional Career,Other Nominations/Recess Appointments
1387386,2101,Sarokin,H.,Lee, ,11,25,1928,Perth Amboy,NJ,6,20,2023,La Jolla,CA,Male,White,U.S. District Court,U.S. District Court for the District of New Jersey,Judge,Jimmy Carter,Democratic,,,Qualified,NJD0308, ,,9/28/79,9/28/79,10/25/79,Reported (favorably),10/30/79,Voice,  ,10/31/79,11/2/79,,,,,,Appointment to Another Judicial Position,10/28/94,U.S. Court of Appeals,U.S. Court of Appeals for the Third Circuit,Judge,William J. Clinton,Democratic,,,Well Qualified,CA31501,104 Stat. 5089,,5/5/94,5/5/94,8/3/94,Reported (favorably),8/11/94,Roll Call, 63/35,10/4/94,10/5/94,,,,,,Retirement,7/31/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dartmouth College,A.B.,1950,Harvard Law School,LL.B.,1953,,,,,,,,,,"Private practice, Newark, New Jersey, 1955-1979; Assistant counsel, Union County, New Jersey, 1959-1965",
1387391,2102,Sater,John,Elbert, ,1,16,1854,New Haven,OH,7,18,1937, , ,Male,White,U.S. District Court,U.S. District Court for the Southern District of Ohio,Judge,Theodore Roosevelt,Republican,,,,OHSD0201,34 Stat. 928,3/18/07,12/3/07,12/3/07,,Not Reported,,,  ,,,,,,,,Recess Appointment-Not Confirmed,5/30/08,U.S. District Court,U.S. District Court for the Southern District of Ohio,Judge,Theodore Roosevelt,Republican,,,,OHSD0202, ,5/30/08,12/8/08,12/8/08,,Reported (favorably),3/1/09,Voice,  ,3/1/09,3/1/09,,,,,,Retirement,11/18/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marietta College,A.B.,1875,Marietta College,A.M.,1878,Read law,,1884,,,,,,,"Superintendent of schools, Wauseon, Ohio, 1875-1881; County school examiner, Fulton County, Ohio; Chief clerk, Office of State Commissioner of Common Schools, Ohio, 1881-1884; Member, Columbus [Ohio] Board of Education, 1885-1890; president, 1888-1889","Nominated to U.S. District Court for the Southern District of Ohio, December 3, 1907; no Senate vote"
1387396,2103,Saunders,Eugene,Davis, ,7,25,1853,Campbell County,VA,10,27,1914, ,VA,Male,White,U.S. District Court,U.S. District Court for the Eastern District of Louisiana,Judge,Theodore Roosevelt,Republican,,,,LAED0303, ,,2/11/07,2/11/07,,Reported (favorably),2/18/07,Voice,  ,2/20/07,2/20/07,,,,,,Resignation,2/8/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Virginia School of Law,LL.B.,1873,,,,,,,,,,,,,"Private practice, Galveston, Texas, 1873-1875; Private practice, New Orleans, Louisiana, 1877-1907, 1909-; Professor of law, Tulane University",
1387401,2104,Savage,Royce,H., ,3,31,1904,Blanco,OK,12,27,1993,Tulsa,OK,Male,White,U.S. District Court,U.S. District Court for the Northern District of Oklahoma,Judge,Franklin D. Roosevelt,Democratic,,,,OKND0102, ,,9/24/40,9/24/40,,Reported (favorably),9/26/40,Voice,  ,9/27/40,10/1/40,1949,1961,,,,Resignation,10/31/61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Oklahoma,A.B.,1925,University of Oklahoma College of Law,LL.B.,1927,,,,,,,,,,"Private practice, Tulsa, Oklahoma, 1929-1938, 1969-; Private practice, Oklahoma City, Oklahoma, 1938-1940; Member, Judicial Conference of the United States, 1958-1961; General counsel, Gulf Oil Corporation, 1961-1969",
1391571,2947,Savage,Timothy,J., ,,,1946,Philadelphia,PA,,,, , ,Male,White,U.S. District Court,U.S. District Court for the Eastern District of Pennsylvania,Judge,George W. Bush,Republican,,,Well Qualified,PAED0113, ,,3/21/02,3/21/02,5/23/02,Reported (favorably),6/13/02,Voice,  ,8/1/02,8/1/02,,,,,3/1/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assumption College,B.A.,1968,Temple University School of Law (now James E. Beasley School of Law),J.D.,1971,,,,,,,,,,"Private practice, Pennsylvania, 1971-2002; Hearing examiner, Pennsylvania Liquor Control Board, 1976-2002",
1387406,2105,Sawtelle,William,Henry, ,8,27,1868,Tuscumbia,AL,12,17,1934, , ,Male,White,U.S. District Court,U.S. District Court for the District of Arizona,Judge,Woodrow Wilson,Democratic,,,,AZD0102, ,,8/6/13,8/6/13,,Reported (favorably),8/18/13,Voice,  ,8/18/13,8/18/13,,,,,,Appointment to Another Judicial Position,2/6/31,U.S. Court of Appeals,U.S. Court of Appeals for the Ninth Circuit,Judge,Herbert Hoover,Republican,,,,CA90304, ,,1/8/31,1/8/31,,Reported (favorably),1/19/31,Voice,  ,1/22/31,1/29/31,,,,,,Death,12/17/34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Read law,,1886,,,,,,,,,,,,,"Private practice, Tuscumbia, Alabama, 1886-1903; Solicitor, Eighth Judicial Circuit, Alabama, 1892-1898; Solicitor, Eleventh Judicial Circuit, Alabama, 1898-1903; Private practice, Tuscon, Arizona, 1903-1913",
1387411,2106,Sawyer,Lorenzo, , ,5,23,1820,Jefferson County,NY,9,7,1891,San Francisco,CA,Male,White,U.S. Circuit Court (1869-1911),U.S. Circuit Courts for the Ninth Circuit,Judge,Ulysses Grant,Republican,,,,1869CC90101,16 Stat. 44,,1869-12-08,1869-12-08,,Reported (favorably),1869-12-22,Voice,  ,1870-01-10,1870-01-10,,,,,,Death,1891-09-07,U.S. Court of Appeals,U.S. Court of Appeals for the Ninth Circuit,Judge,None (assignment),None (assignment),,,,CA90101,26 Stat. 826,,,,,,,,  ,,1891-06-16,,,,,,Death,1891-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Reserve College (now Case Western Reserve University),, ,Read law,,1846,,,,,,,,,,"Private practice, Chicago, Illinois, 1846-1848; Private practice, Jefferson, Wisconsin, 1848-1850; Private practice, Sacramento, California, 1850; Private practice, Nevada City and San Francisco, California, 1850-1861; City attorney, San Francisco, California, 1854-; Private practice, San Francisco, California, and Virginia City, Nevada, 1861-1862; Judge, California District Court, Twelfth Judicial District, 1862-1863; Justice, Supreme Court of California, 1863-1869; chief justice, 1868-1869",
1392111,3055,Saylor,F.,Dennis,IV,,,1955,Royal Oak,MI,,,, , ,Male,White,U.S. District Court,U.S. District Court for the District of Massachusetts,Judge,George W. Bush,Republican,,,Well Qualified,MAD0702, ,,7/30/03,7/30/03,11/12/03,Reported (favorably),3/4/04,Roll Call, 89/0,6/1/04,6/2/04,2020,2025,,,7/31/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Judge, Foreign Intelligence Surveillance Court, 2011-2018",,,,Northwestern University,B.S.,1977,Harvard Law School,J.D.,1981,,,,,,,,,,"Private practice, Boston, Massachusetts, 1981-1987, 1993-2004; Assistant U.S. attorney, District of Massachusetts, 1987-1990; Special counsel and chief of staff to the assistant attorney general, Criminal Division, U.S. Department of Justice, 1990-1993",
1387416,2107,Scalera,Ralph,Francis, ,6,28,1930,Midland,PA,1,27,2011,Brighton Township,PA,Male,White,U.S. District Court,U.S. District Court for the Western District of Pennsylvania,Judge,Richard M. Nixon,Republican,,,Well Qualified,PAWD0115, ,,11/12/71,11/12/71,11/23/71,Reported (favorably),11/23/71,Voice,  ,11/23/71,11/30/71,,,,,,Resignation,5/1/76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harvard University,A.B.,1952,University of Pennsylvania Law School (now Carey Law School),LL.B.,1955,,,,,,,,,,"U.S. Army, 1955-1957; Private practice, Beaver, Pennsylvania, 1957-1959, 1961-1964, 1970-1971; Assistant U.S. attorney, Western District of Pennsylvania, 1959-1961; Judge, Court of Common Pleas of Beaver County [Pennsylvania], 1964-1970; presiding judge, 1966-1970; Private practice, Pittsburgh, Pennsylvania, 1976-",
1387421,2108,Scalia,Antonin, , ,3,11,1936,Trenton,NJ,2,13,2016,Shafter,TX,Male,White,U.S. Court of Appeals,U.S. Court of Appeals for the District of Columbia Circuit,Judge,Ronald Reagan,Republican,,,Qualified,CADC0406, ,,7/15/82,7/15/82,8/4/82,Reported (favorably),8/4/82,Voice,  ,8/5/82,8/17/82,,,,,,Appointment to Another Judicial Position,9/26/86,Supreme Court,Supreme Court of the United States,Associate Justice,Ronald Reagan,Republican,,,,SCT1007, ,,6/24/86,6/24/86,8/5/86,Reported (favorably),8/14/86,Roll Call, 98/0,9/17/86,9/25/86,,,,,,Death,2/13/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georgetown College (now Georgetown University),B.A.,1957,Harvard Law School,LL.B.,1960,,,,,,,,,,"Sheldon Fellow, Harvard University, 1960-1961; Private practice, Cleveland, Ohio, 1960-1967; Faculty, University of Virginia Law School, 1967-1974; associate professor, 1967-1970; professor of law, 1970-1974; General counsel, Office of Telecommunications Policy, Executive Office of the President, 1971-1972; Chairman, U.S. Administrative Conference, 1972-1974; Assistant attorney general, Office of Legal Counsel, U.S. Department of Justice, 1974-1977; Visiting professor, Georgetown University, 1977; Editor, Regulation, American Enterprise Institute, 1977-1982; Professor of law, University of Chicago, 1977-1982; Visiting professor, Stanford University, 1980-1981",
1393126,3258,Scarburgh,George,Parker, ,2,11,1807,Accomack County,VA,12,21,1879,Norfolk,VA,Male,White,Other,Court of Claims,Judge,Franklin Pierce,Democratic,,,,CLMS0101,10 Stat. 612,1855-05-08,1856-01-22,1856-01-24,,Reported (no recommendation recorded),1856-02-11,Voice,  ,1856-02-11,1856-02-11,,,,,,Resignation,1861-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Read law with Thomas R. Joynes,,1827,,,,,,,,,,,,,"Private practice, Accomack County, Virginia, 1828-1844; Judge, Virginia Circuit Superior Court of Law and Chancery, Third Judicial Circuit, 1844-1852; Professor of law, College of William and Mary, 1852-1855; Commissioner, Confederate Court of Claims, 1861-1862; Private practice, Halifax County, Virginia, 1863-1865; Private practice, Norfolk, Virginia, 1865-1877; Judge, Norfolk [Virginia] Corporation Court, 1877-1879",
1387426,2109,Scarlett,Francis,Muir, ,6,9,1891,Brunswick,GA,11,18,1971, , ,Male,White,U.S. District Court,U.S. District Court for the Southern District of Georgia,Judge,Harry S Truman,Democratic,,,,GASD0205, ,,1/24/46,1/24/46,,Reported (favorably),2/13/46,Voice,  ,2/13/46,2/14/46,,,,,8/2/68,Death,11/18/71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Georgia School of Law,LL.B.,1913,,,,,,,,,,,,,"Private practice, Brunswick, Georgia, 1913-1946; Solicitor, Brunswick [Georgia] City Court, 1919-1929",
8894336,8894336,Scarsi,Mark,Christopher,,,,1964,Syracuse,NY,,,,,,Male,White,U.S. District Court,U.S. District Court for the Central District of California,Judge,Donald J. Trump,Republican,,,Well Qualified,CACD2702,,,1/9/20,1/9/20,,Reported (favorably),3/5/20,Roll Call, 83/12,9/15/20,9/18/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syracuse University,B.S.,1987,Syracuse University,M.S.,1993,Georgetown University Law Center,J.D.,1996,,,,,,,"Engineer, GE Aerospace/Martin Marietta/Lockheed Martin Corp., Syracuse, New York, 1987-1993; Engineer (part-time), Lockheed Martin Corp., Reston, Virginia, 1993-1994; Private practice, Pasadena, California, 1996-1998; Private practice, Los Angeles, California, 1998-2020","Nominated to U.S. District Court for the Central District of California, November 13, 2018; no Senate vote; Nominated to U.S. District Court for the Central District of California, February 6, 2019; no Senate vote"
1387431,2110,Schall,Alvin,Anthony, ,,,1944,New York,NY,,,, , ,Male,White,U.S. Court of Appeals,U.S. Court of Appeals for the Federal Circuit,Judge,George H.W. Bush,Republican,,,Well Qualified,CAFC1002, ,,3/3/92,3/3/92,7/29/92,Reported (favorably),8/12/92,Voice,  ,8/12/92,8/17/92,,,,,10/5/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Princeton University,B.A.,1966,Tulane University Law School,J.D.,1969,,,,,,,,,,"Private practice, New York City, 1969-1973; Assistant U.S. attorney, Eastern District of New York, 1973-1978; chief, Appeals Division, 1977-1978; Trial attorney, Civil Division, U.S. Department of Justice, 1978-1987; senior trial counsel, 1986-1987; Private practice, Washington, D.C., 1987-1988; Assistant to the Attorney General of the United States, 1988-1992",
1387436,2111,Schatz,Albert,Gerard, ,8,4,1921,Omaha,NE,4,30,1985, , ,Male,White,U.S. District Court,U.S. District Court for the District of Nebraska,Judge,Richard M. Nixon,Republican,,,Well Qualified,NED0108, ,,4/12/73,4/12/73,4/30/73,Reported (favorably),5/10/73,Voice,  ,5/10/73,5/11/73,,,,,,Death,4/30/85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Nebraska,A.B.,1943,Creighton University School of Law,LL.B.,1948,,,,,,,,,,"U.S. Marine Corps captain, 1943-1946; Law clerk, Hon. Joseph W. Woodrough, U.S. Court of Appeals for the Eighth Circuit, 1948-1950; Private practice, Omaha, Nebraska, 1950-1973; Member, Judicial Conference of the United States, 1979-1985",
1387441,2112,Scheindlin,Shira,A., ,,,1946,Washington,DC,,,, , ,Female,White,U.S. District Court,U.S. District Court for the Southern District of New York,Judge,William J. Clinton,Democratic,,,Well Qualified,NYSD2604, ,,7/28/94,7/28/94,9/14/94,Reported (favorably),9/22/94,Voice,  ,9/28/94,9/29/94,,,,,8/16/11,Retirement,4/29/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"U.S. Magistrate, U.S. District Court for the Eastern District of New York, 1982-1986",,,,University of Michigan,B.A.,1967,Columbia University,M.A.,1969,Cornell Law School,J.D.,1975,,,,,,,"Private practice, New York City, 1975-1976, 1990-1994, 2016-; Law clerk, Hon. Charles Brieant, Jr., U.S. District Court, Southern District of New York, 1976-1977; Assistant U.S. attorney, Eastern District of New York, 1977-1981; General counsel, New York City Department of Investigation, 1981-1982; Adjunct professor, Brooklyn Law School, 1983-1994; Private practice, Short Hills, New Jersey, 1986-1990; Mediator, arbitrator, and special master, JAMS, New York City, 2016-",
1387446,2113,Schell,Richard,A., ,,,1950,Dallas,TX,,,, , ,Male,White,U.S. District Court,U.S. District Court for the Eastern District of Texas,Judge,Ronald Reagan,Republican,,,Qualified,TXED0302, ,,4/13/88,4/13/88,5/16/88,Reported (favorably),5/27/88,Voice,  ,5/27/88,6/6/88,1994,2001,,,3/10/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Southern Methodist University,B.A.,1972,Southern Methodist University School of Law (now Dedman School of Law),J.D.,1975,,,,,,,,,,"Instructor, Southern Methodist University Law School, 1975-1976; Assistant district attorney, Collin County, Texas, 1976; Private practice, McKinney, Texas, 1977-1982; Judge, Collin County [Texas] Court at Law, 1982-1986; Judge, Collin County [Texas] Two Hundred and Nineteenth District Court, 1986-1988; Visiting professor, Southern Methodist University Dedman School of Law, 2010-",
7815631,7815631,Schelp,Matthew,Thomas,,,,1970,Kansas City,MO,,,,,,Male,White,U.S. District Court,U.S. District Court for the Eastern District of Missouri,Judge,Donald J. Trump,Republican,,,Well Qualified,MOED0803,,,1/3/20,1/3/20,,Reported (favorably),1/16/20,Roll Call, 72/23,2/12/20,8/4/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Missouri,B.S.B.A.,1992,University of Missouri School of Law,J.D.,1996,,,,,,,,,,"U.S. Navy lieutenant commander, JAG Corps, 1996-1999; Private practice, St. Louis, Missouri, 1999-2001, 2010-2020; Assistant U.S. attorney, Eastern District of Missouri, 2001-2010; U.S. Naval Reserve lieutenant commander, JAG Corps, 2002-2012","Nominated to U.S. District Court for the Eastern District of Missouri, December 2, 2019; no Senate vote"
1392191,3071,Schiavelli,George,P., ,6,15,1948,Miami Beach,FL,8,28,2019, , ,Male,White,U.S. District Court,U.S. District Court for the Central District of California,Judge,George W. Bush,Republican,,,Well Qualified,CACD2302, ,,1/20/04,1/20/04,4/8/04,Reported (favorably),4/29/04,Voice,  ,6/24/04,7/8/04,,,,,,Resignation,10/5/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stanford University,A.B.,1970,"University of California, Los Angeles, School of Law",J.D.,1974,,,,,,,,,,"Private practice, Los Angeles, California, 1974-1994, 2000-2004, 2008-; Judge, Superior Court of California, County of Los Angeles, 1994-2000",
1391176,2868,Schiller,Berle,M., ,6,17,1944,Brooklyn,NY,7,22,2025, , ,Male,White,U.S. District Court,U.S. District Court for the Eastern District of Pennsylvania,Judge,William J. Clinton,Democratic,,,Well Qualified,PAED1903, ,,4/11/00,4/11/00,5/10/00,Reported (favorably),5/18/00,Voice,  ,5/24/00,6/2/00,,,,,6/18/12,Death,7/22/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bowdoin College,B.A.,1965,New York University School of Law,J.D.,1968,,,,,,,,,,"Private practice, Pennsylvania, 1968-1969, 1972-1993; Deputy attorney general, Commonwealth of Pennsylvania, 1971; Chief counsel, Federal Transit Administration, 1994-1996; Judge, Superior Court of Pennsylvania, 1996-2000",
1392381,3109,Schiltz,Patrick,Joseph, ,,,1960,Duluth,MN,,,, , ,Male,White,U.S. District Court,U.S. District Court for the District of Minnesota,Judge,George W. Bush,Republican,,,Well Qualified,MND0603, ,,12/14/05,12/14/05,3/1/06,Reported (favorably),3/30/06,Voice,  ,4/26/06,4/28/06,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,College of St. Scholastica,B.A.,1981,Harvard Law School,J.D.,1985,,,,,,,,,,"Law clerk, Hon. Antonin Scalia, U.S. Court of Appeals for the District of Columbia Circuit, 1985-1986; Law clerk, Hon. Antonin Scalia, Supreme Court of the United States, 1986-1987; Private practice, Minnesota, 1987-1995; Associate professor of law, University of Notre Dame Law School, 1995-2000; University of St. Thomas School of Law, 2000-2006; associate dean, 2000-2003; law professor, 2003-2006",
1387451,2114,Schlesinger,Harvey,Erwin, ,,,1940,New York,NY,,,, , ,Male,White,U.S. District Court,U.S. District Court for the Middle District of Florida,Judge,George H.W. Bush,Republican,,,Well Qualified,FLMD0603, ,,5/23/91,5/23/91,6/20/91,Reported (favorably),6/27/91,Voice,  ,6/27/91,7/2/91,,,,,6/5/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"U.S. Magistrate/U.S. Magistrate Judge, U.S. District Court for the Middle District of Florida, 1975-1991",,,,The Citadel,B.A.,1962,University of Richmond T.C. Williams School of Law (now University of Richmond School of Law),J.D.,1965,,,,,,,,,,"U.S. Army captain, 1965-1968; Instructor, John Marshall Law School, 1967-1968; Corporate counsel, Seaboard Coast Line Railroad, Jacksonville, Florida, 1968-1970; Chief assistant U.S. attorney, Middle District of Florida, 1970-1975; Adjunct professor, University of North Florida, 1984-1992",
